speed,density,Latitude(N),Longitude(E),ExpiryTime,IsNegation,Severity,CauseCode,Sub_CauseCode,Reliability,class
36,31,26.148238,91.732162,5319937,0,4,92,4,92,1
32,49,26.148627,91.732103,1694096,0,1,96,5,23,1
25,80,26.148778,91.732139,7398055,0,3,99,7,26,1
20,103,26.148435,91.731745,9860118,0,1,11,4,9,1
23,89,26.148449,91.73177,4019198,0,4,94,5,83,1
22,94,26.148458,91.731655,4192806,0,1,27,4,85,1
29,62,26.14831,91.731585,9314092,0,4,1,8,46,1
26,76,26.148803,91.732017,6682099,0,2,17,6,98,1
25,80,26.14877,91.73215,7200544,0,1,99,7,6,1
22,94,26.148416,91.731625,3013417,0,3,27,4,13,1
22,94,26.148444,91.731636,8817560,0,4,27,4,76,1
28,67,26.148496,91.73156,8500925,0,3,96,5,54,1
29,62,26.148294,91.731622,6054847,0,1,1,8,6,1
25,80,26.148727,91.732128,9175536,0,2,99,7,97,1
20,103,26.148409,91.731753,8573108,0,1,11,4,51,1
35,36,26.148198,91.732101,5449776,0,1,14,2,96,1
30,58,26.148323,91.73155,9304241,0,1,96,5,50,1
32,49,26.148662,91.732063,1004356,0,3,96,5,36,1
20,103,26.148462,91.731755,4721090,0,3,11,4,42,1
20,103,26.148467,91.731756,9049142,0,2,11,4,90,1
21,98,26.148983,91.731946,2196927,0,2,95,2,87,1
24,85,26.148667,91.73228,1362967,0,2,98,3,41,1
36,31,26.148282,91.732145,1219515,0,1,92,4,19,1
25,80,26.148713,91.732156,7340583,0,1,99,7,46,1
22,94,26.148472,91.731674,7458262,0,2,27,4,67,1
33,45,26.148811,91.731829,7385962,0,1,10,7,64,1
32,49,26.148619,91.732068,6195858,0,2,96,5,67,1
24,85,26.148693,91.732272,3699464,0,3,98,3,45,1
21,98,26.148965,91.731918,7460091,0,1,95,2,24,1
21,98,26.14897,91.731925,1991605,0,4,95,2,29,1
21,98,26.148953,91.731927,3459387,0,1,95,2,34,1
20,103,26.148444,91.731757,3238254,0,2,11,4,59,1
28,67,26.148498,91.731563,5882643,0,3,96,5,35,1
29,62,26.148273,91.731584,9921719,0,2,1,8,20,1
20,103,26.148464,91.731759,4227891,0,3,11,4,84,1
20,103,26.148406,91.731745,5022231,0,3,11,4,33,1
26,76,26.148839,91.731968,9365705,0,2,17,6,1,1
20,103,26.148396,91.7317,9206611,0,4,11,4,54,1
33,45,26.148829,91.731855,5156355,0,3,10,7,28,1
27,71,26.148892,91.731647,3792872,0,2,1,8,70,1
24,85,26.148706,91.73226,1228226,0,4,98,3,57,1
22,94,26.148427,91.731657,2968089,0,4,27,4,11,1
23,89,26.148449,91.73175,4163739,0,2,94,5,22,1
20,103,26.148413,91.731714,2339809,0,1,11,4,43,1
38,22,26.148328,91.732122,7947135,0,1,95,2,69,1
27,71,26.148935,91.731599,1295790,0,4,1,8,7,1
25,80,26.148735,91.732105,7891838,0,2,99,7,61,1
26,76,26.148817,91.73197,6911213,0,4,17,6,58,1
25,80,26.148738,91.732144,3467606,0,2,99,7,51,1
24,85,26.148675,91.732303,1233269,0,2,98,3,35,1
24,85,26.148688,91.732296,7596729,0,3,98,3,38,1
23,89,26.14846,91.73179,7640902,0,1,94,5,13,1
24,85,26.14867,91.732278,9211999,0,2,98,3,99,1
20,103,26.148397,91.731702,9751167,0,2,11,4,59,1
26,76,26.14882,91.731955,4186315,0,4,17,6,78,1
25,80,26.148746,91.732084,2447691,0,2,99,7,99,1
30,58,26.148259,91.731561,6082921,0,1,96,5,59,1
28,67,26.14847,91.731567,9908859,0,3,96,5,0,1
